code,target,interest,maturity,payment,status,id,income,age,scaleofcompany,education,marriage,workingtime,estate,houseloan,car,carloan,creditscore,application,pastsuccess,pastdefault,creditcertificate,creditreport,identitycertificate,jobcertificate,incomecertificate,estatecertificate,carcertificate,marriagecertificate,educertificate,techcertificate,mobilecertificate,weibocertificate
2316,200000 ,0.15 ,12,18040 ,1,754328,20000-50000,47,less10,highschool,divorced,1-3 years,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2317,20000 ,0.10 ,3,6780 ,1,738891,2000-5000,27,10-100,junior college,married,below 1 year,1,1,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2318,20000 ,0.15 ,12,1804 ,1,754335,5000-10000,26,10-100,junior college,married,1-3 years,1,1,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2319,15000 ,0.15 ,24,726 ,0,754358,2000-5000,29,10-100,master,single,3-5 years,0,0,0,0,80,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2320,500000 ,0.24 ,24,26400 ,1,713654,20000-50000,44,10-100,junior college,married,1-3 years,1,1,0,0,30,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2321,46700 ,0.13 ,36,1578 ,0,754378,2000-5000,23,less10,undergraduate,single,below 1 year,1,0,0,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2322,46700 ,0.13 ,36,1578 ,0,754379,5000-10000,42,less10,junior college,married,below 1 year,1,1,0,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2323,27600 ,0.13 ,24,1308 ,0,754380,2000-5000,44,less10,junior college,divorced,below 1 year,0,0,0,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2324,55300 ,0.13 ,24,2621 ,0,754381,2000-5000,35,less10,undergraduate,married,below 1 year,1,0,0,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2325,30000 ,0.15 ,24,1452 ,1,591116,2000-5000,30,100-500,junior college,single,3-5 years,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2326,5000 ,0.11 ,6,860 ,1,668534,2000-5000,22,10-100,junior college,single,1-3 years,1,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2327,20000 ,0.10 ,3,6780 ,1,754326,5000-10000,25,100-500,undergraduate,single,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2328,5000 ,0.10 ,3,1695 ,1,754385,--,29,--,--,single,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2329,300000 ,0.11 ,6,51600 ,1,747558,--,26,--,undergraduate,married,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2330,5000 ,0.18 ,6,878 ,1,279959,2000-5000,27,10-100,highschool,single,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2331,70000 ,0.15 ,24,3388 ,1,612756,2000-5000,38,100-500,highschool,divorced,3-5 years,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2332,15000 ,0.11 ,6,2580 ,1,754384,2000-5000,23,10-100,highschool,single,below 1 year,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2333,93400 ,0.13 ,36,3157 ,0,754398,5000-10000,34,less10,junior college,married,below 1 year,1,1,1,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2334,77800 ,0.13 ,36,2630 ,0,754399,10000-20000,50,less10,highschool,divorced,below 1 year,1,1,0,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2335,27600 ,0.13 ,24,1308 ,0,754400,2000-5000,30,less10,undergraduate,married,below 1 year,0,0,0,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2336,27600 ,0.13 ,24,1308 ,0,754401,2000-5000,27,less10,junior college,single,below 1 year,1,0,0,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2337,15000 ,0.10 ,3,5085 ,1,754391,--,35,--,--,single,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2338,500000 ,0.24 ,24,26400 ,1,713654,20000-50000,44,10-100,junior college,married,1-3 years,1,1,0,0,30,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2339,100000 ,0.15 ,24,4840 ,1,754333,10000-20000,36,less10,highschool,married,above 5 years,1,1,0,0,20,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2340,30000 ,0.15 ,18,1872 ,1,753156,5000-10000,25,above500,junior college,single,1-3 years,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2341,7000 ,0.12 ,9,818 ,1,754410,5000-10000,23,10-100,undergraduate,single,1-3 years,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2342,5000 ,0.24 ,24,264 ,1,699862,2000-5000,32,above500,highschool,single,below 1 year,1,0,0,0,22,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1
